LINGUA;Inicial;Palavra;SIGNIFICADO;Número de registros
Português (Palavras com origem nativa);A;Arapuca;branco (cor);1
Português (Palavras com origem nativa);A;Araripe;apiaká (índio);1
Português (Palavras com origem nativa);A;Aru;cair;1
Português (Palavras com origem nativa);A;Apiacá;vermelho;1
Português (Palavras com origem nativa);A;Arapuã;nariz, ponta;1
Português (Palavras com origem nativa);A;Anu;carapanã;1
Português (Palavras com origem nativa);A;Araponga;caçar;1
Português (Palavras com origem nativa);A;Arara;ribeiro;1
Português (Palavras com origem nativa);A;Araçoiaba;"para; quando";1
Português (Palavras com origem nativa);A;Anhembi;urucu;1
Português (Palavras com origem nativa);A;Aracaju;com;1
Português (Palavras com origem nativa);A;Arapoti;pequeno;1
Português (Palavras com origem nativa);A;Araraquara;branco, homem branco;1
Português (Palavras com origem nativa);A;Araranguá;porco;1
Português (Palavras com origem nativa);A;Araxá;tatu;1
Português (Palavras com origem nativa);A;Arujá;chiqueiro;1
Português (Palavras com origem nativa);A;Avaí;moradores do rio abaixo;1
Português (Palavras com origem nativa);A;Avaré;batata;1
Português (Palavras com origem nativa);A;Anhangabaú;macaco-aranha (cuatá);1
Português (Palavras com origem nativa);A;Anhanguera;Deus;1
Português (Palavras com origem nativa);A;Anhatomirim;o chefe;1
Português (Palavras com origem nativa);A;Araguaia;tornar-se;1
Português (Palavras com origem nativa);A;Araci;pegar;1
Português (Palavras com origem nativa);A;Araçá;perto;1
Português (Palavras com origem nativa);A;Araueté;bracelete, pulseira;1
Português (Palavras com origem nativa);B;Babaçu;"Do Tupi-Guarani: ibá-guaçu = fruto grande.
O babaçu é uma palmeira típica do Norte e Nordeste brasileiro e principal produto do extrativismo vegetal do Maranhão. Sua palha é utilizada para confecção de cestos e artesanato. Seus frutos (cocos) têm propriedades medicinais e é utilizado como suplemento alimentar. Das sementes se extrai um óleo utilizado na industria de cosméticos e que também como bio-combustível.";1
Português (Palavras com origem nativa);B;Babaçulândia;Palavra híbrida do Tupi-Guarani babaçu = palmeira e do inglês land = terra.;1
